"EID","DOI","Year","DocumentType","CitedBy","SourceTitle","Queries","QueryCount","Themes","Score","Title","Abstract","AbstractFound"
"2-s2.0-85140011554","10.1155/2022/3262228","2022","Article","4","Wireless Communications and Mobile Computing","S1,S4","2","Maneuver, Uncertainty, Unity/VR, Benchmark/Validation","28","Design of the UAV Trajectory Tracking System Based on the Adaptive Neural Network - ADRC Method","In order to solve the problems of internal uncertainty and external disturbance of an unmanned aerial vehicle (UAV), this paper proposes the active disturbance rejection controller (ADRC) based on the adaptive radial basis function (RBF) neural network. Firstly, the dynamic model of a quadrotor with disturbance is analyzed and the controller is designed based on the ADRC method. Secondly, the RBF network is used to estimate the unknown parameter b of the system and the Lyapunov function is constructed to prove the stability of the closed-loop system. Finally, simulation results of a spiral ascent and a climbing maneuver flight illustrate that the controller proposed in this paper has high tracking accuracy and strong robustness under different flight scenarios; the average tracking error of the outdoor flight experiment is about 0.22 m, which further verifies the effectiveness of the proposed controller.  ? 2022 Xin Cai et al.","Yes"
"2-s2.0-85184959364","10.1016/j.ifacol.2023.10.774","2023","Conference paper","0","IFAC-PapersOnLine","S1,S4","2","Maneuver, Uncertainty, Unity/VR, Benchmark/Validation","28","Learning Flight Control Systems from Human Demonstrations and Real-Time Uncertainty-Informed Interventions","This paper describes a methodology for learning flight control systems from human demonstrations and interventions while considering the estimated uncertainty in the learned models. The proposed approach uses human demonstrations to train an initial model via imitation learning and then iteratively, improve its performance by using real-time human interventions. The aim of the interventions is to correct undesired behaviors and adapt the model to changes in the task dynamics. The learned model uncertainty is estimated in real-time via Monte Carlo Dropout and the human supervisor is cued for intervention via an audiovisual signal when this uncertainty exceeds a predefined threshold. This proposed approach is validated in an autonomous quadrotor landing task on both fixed and moving platforms. It is shown that with this algorithm, a human can rapidly teach a flight task to an unmanned aerial vehicle via demonstrating expert trajectories and then adapt the learned model by intervening when the learned controller performs any undesired maneuver, the task changes, and/or the model uncertainty exceeds a threshold. Copyright ? 2023 The Authors. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0/)","Yes"
"2-s2.0-105001093905","10.2514/6.2025-0778","2025","Conference paper","2","AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2025","S1,S4","2","Maneuver, Uncertainty, Unity/VR","24","An Adaptive Sampling Strategy on Optimal Takeoff Trajectory Prediction of Electric Drones","Electric vertical takeoff and landing (eVTOL) aircraft transforms future transportation systems by alleviating transportation congestion on the ground. This eVTOL technique possesses unique features, including reduced noise, low pollutant emissions, efficient operating costs, and flexible maneuverability. Meanwhile, battery consumption poses critical challenges to flight task duration. Thus, optimal takeoff trajectory design is essential due to immense power demands during eVTOL takeoffs. Conventional design optimization, however, iteratively evaluates highfidelity simulation models, making the design process computationally intensive. In this work, we implement a machine learning-enabled inverse mapping optimization concept, i .e., directly predicting optimal design based on design requirements (including design constraints and flight conditions). This inverse mapping configuration requires a high-fidelity simulation-based design optimization for each training sample. Thus, more effectively generating training data becomes crucial to the success of inverse mapping. We adopt an adaptive sampling strategy for intelligent data acquisition to efficiently train machine learning surrogates. Specifically, the adaptive sampling strategy is based on proper orthogonal decomposition (POD) and infills samples for POD basis improvement. We demonstrated the proposed approach on optimal takeoff trajectory design of the Airbus A3 Vahana and compared its performance against Latin hypercube sampling (LHS). Results exhibited that the adaptive sampling-based deep neural network surrogates consistently outperformed LHS-based surrogate modeling, given the same computational budget and neural architecture. Specifically, the adaptive sampling-based surrogates achieved over 98% accuracy for predicting optimal trajectories of electrical power and wing angle, as well as total takeoff time, using around 380 training samples, whereas LHS-based surrogates cannot make this accuracy even with 780 samples. ? 2025, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Yes"
"2-s2.0-105033339406","10.12454/j.jsuese.202400419","2026","Article","0","Gongcheng Kexue Yu Jishu/Advanced Engineering Sciences","S2,S3","2","Maneuver, Unity/VR, Benchmark/Validation, Telemetry/RealFlight","24","Hierarchical Deep Reinforcement Learning Algorithm for Air Combat Based on Time Scale Separation Theory; [???????????????????????]","Objective Six-degree-of-freedom (6-DoF) unmanned aerial vehicle (UAV) air combat scenarios present substantial challenges for strategy learning when reinforcement learning methods are applied. These challenges stem from high-dimensional state spaces, continuously coupled action domains, and strongly nonlinear flight dynamics. Conventional end-to-end deep reinforcement learning (DRL) approaches struggle to achieve rapid convergence, to identify effective maneuver strategies, and to generalize learned policies beyond narrowly constrained conditions. In addition, reward functions often rely on handcrafted rules derived from human expertise, which do not ensure that higher reward values correspond to genuinely effective combat strategies. This study addresses these limitations by introducing a hierarchical framework based on time scale separation theory. The proposed framework employs a two-stage training procedure that accounts for differences in how flight parameters influence state variables across multiple time scales, improving learning efficiency, enhancing strategy quality, and increasing generalization capability in complex and diverse combat environments. Methods A novel algorithm, termed TTS?PPO, was developed. TTS?PPO stood for a Two-Stage Training framework leveraging Time-Scale separation within Proximal Policy Optimization. The method focused on partitioning the 6 DoF UAV air combat decision-making process into short-cycle and long-cycle segments, which reflected differences in how control inputs influenced state variables across distinct time scales. A time-division framework was established. The short?cycle component addressed rapid rotational and attitude adjustments. Instead of allowing the DRL procedure to directly manage these fine-grained actions, a Proportional-Integral-Derivative (PID) controller was employed to output real-time joystick commands. This configuration allowed classical low-level stability and attitude control to be handled independently, which reduced the complexity encountered by the DRL policy at the higher strategic level. With low-level stability assured, the DRL agent focused on tactical and strategic decision-making. The long-cycle component used Proximal Policy Optimization to manage trajectory planning and tactical maneuvers. The long-cycle PPO agent effectively decoupled strategic decision-making from low-level actuation tasks by issuing high-level commands to guide the PID-driven short-cycle layer. This hierarchical decomposition allowed learning to proceed more efficiently. The long-cycle agent encountered a reduced problem space and concentrated on discovering effective combat strategies without being burdened by the complexities of rapid stabilization maneuvers. Time scale separation was further implemented within the state space. Environmental states were divided into long-cycle and short-cycle groups. The long-cycle states captured slowly evolving features such as relative positions, energy conditions, and global situational parameters, whereas the short-cycle states encompassed rapidly changing variables such as angular rates and orientation deviations. Aligning state variables with their corresponding time scales accelerated learning and improved policy robustness. A relative situation transformation module was introduced to refine and compress the state representation, which ensured that the agent received relevant information at appropriate decision intervals and minimized computational complexity at each step. A two-stage training strategy was employed. In the first stage, single-step rewards designed for specific subtasks, such as pursuit or strike, were introduced with a lower decision frequency to assist the agent during the initial ?cold start? period. This incremental guidance supported the stabilization of fundamental behavioral patterns and facilitated the acquisition of essential tactical principles. During this phase, the agent overcame early-stage instability, which resulted in more reliable initial policies. In the second stage of training, single-step rewards were removed, and only sparse terminal rewards were retained. In the second stage of training, single-step rewards were removed, and only sparse terminal rewards were retained, while the decision frequency was increased. In the absence of frequent intermediate rewards, the policy emphasized long-term outcomes rather than short-term objectives. The higher decision frequency enabled more refined tactical adjustments and encouraged the emergence of maneuvers that improved overall performance. The gradual transition from a guided, intermediate-reward scenario to a sparse-reward, high-frequency regime allowed the policy to progress from basic stability toward advanced strategic competence. A simulation environment was constructed using an open-source F-16 UAV model coupled with the JSBSim flight dynamics engine to evaluate the effectiveness of the proposed hierarchical DRL algorithm founded on time scale separation theory. This configuration provided realistic 6 DoF conditions and supported one-on-one close-range air combat simulations. Ablation experiments were conducted to assess the contribution of individual components within the TTS ? PPO framework. One configuration trained the agent against a non-maneuvering linear opponent, which served as a controlled baseline for determining whether the learned policy can scale from simple engagements to more complex combat scenarios. Results and Discussions The results demonstrated that the TTS ? PPO approach, which incorporated hierarchical decomposition and time scale separation, achieved faster convergence and improved final performance metrics compared to baseline end-to-end DRL methods that lacked time scale separation or a two-stage training procedure. Assigning state variables to short-cycle and long-cycle categories, together with hierarchical action decomposition, significantly reduced overall problem complexity. Training convergence speed improved by approximately 67%, which reduced computational costs and enabled more frequent iterative policy refinements. With enhanced efficiency, the DRL agent discovered more stable and effective combat strategies within fewer training episodes. Generalization performance was evaluated by testing agents trained under different variants of the approach across various initial conditions, velocities, and adversary tactics. Comparisons were conducted among three agent types: an agent trained with PPO on full-state inputs without time scale division (FS ? PPO), an agent using time scale-separated states with a single-stage training approach (TS ? PPO), and the two-stage time scale-separated TTS ? PPO. The agent trained with TTS ? PPO outperformed both FS ? PPO and TS ? PPO agents in pairwise confrontations, which indicated that combining time scale separation with two-stage training not only enhanced learning speed but also enabled the agent to acquire more generalizable combat principles rather than narrowly optimizing for a specific scenario. Further validation involved testing the TTS ? PPO-trained agent against rule-based expert opponents. The policy derived from TTS ? PPO successfully defeated these expert systems. Even when training was conducted exclusively against a simple linear adversary, the learned policy surpassed expert-level strategies, which confirmed that hierarchical time scale separation and the two-stage training design facilitated the development of adaptable policies with robust tactical proficiency. The ability to transfer from minimal training complexity to outperforming expert opponents highlighted the scalability and versatility of the learned strategies. Conclusions Accordingly, the hierarchical DRL algorithm, grounded in time scale separation theory and employing a two-stage training strategy, addressed significant challenges associated with applying DRL to 6-DoF UAV air combat tasks. The method substantially improved training efficiency and enhanced both the robustness and generalization capability of the resulting policies by decomposing decision-making into short-cycle and long-cycle phases, introducing a PID-controlled low-level stabilization layer, and separating state variables based on their respective time scales. The hierarchical framework enabled the agent to focus on strategic maneuvers at the long-cycle level, while the short-cycle PID layer managed rapid stabilization tasks. Time scale-aware state representations and a staged training procedure guided the policy from basic stability to advanced tactical competence. The observed increases in convergence speed and the ability to manage a range of adversarial conditions highlight the value of applying time scale separation principles in challenging reinforcement learning domains. The TTS?PPO framework can serve as a reference for addressing other complex reinforcement learning problems characterized by distinct time scale dynamics, fostering more efficient, generalizable, and strategically effective decision-making in advanced autonomous systems. ? 2026 Sichuan University. All rights reserved.","Yes"
"2-s2.0-85192156525","10.1109/TIE.2024.3387096","2024","Article","10","IEEE Transactions on Industrial Electronics","S1,S4","2","Maneuver, Uncertainty, Benchmark/Validation","23","Resilient Flight Control for a 32g Nano Helicopter","Nano helicopter unmanned air vehicles (NHUAVs) offer significant advantages due to their compact size, maneuverability, and cost-effectiveness, making them versatile and flexible platforms for various applications. Despite these merits, achieving full autonomy in NHUAV control presents challenges including multivariable, strongly coupled nonlinear systems, susceptibility to external disturbances, uncertainty in system dynamics, and altitude loss during sharp turns. This article introduces a novel robust adaptive bidirectional fuzzy brain emotional learning (BFBEL) control strategy to address these challenges and achieve stable pose control and highly accurate trajectory tracking for uncertain NHUAVs. The BFBEL controller integrates fuzzy inference, a neural network, and a bidirectional brain emotional learning (BBEL) mechanism, enabling rapid adaptation and precise flight control. Implemented on a customized 32g NHUAV platform, the proposed control algorithm demonstrates remarkable performance in the presence of wind disturbance and system uncertainty. The obtained results underscore the superiority of BFBEL, showcasing significant advancements over self-adaptive sliding surface-based Takagi-Sugeno fuzzy control and conventional PID control approaches in terms of robustness to disturbances and trajectory tracking precision. ? 1982-2012 IEEE.","Yes"
"2-s2.0-85201765009","10.1109/ACCESS.2024.3447474","2024","Article","10","IEEE Access","S1,S4","2","Uncertainty, Unity/VR, Benchmark/Validation","23","Neuro-Fuzzy-Based Adaptive Sliding Mode Control of Quadrotor UAV in the Presence of Matched and Unmatched Uncertainties","Sliding Mode Control (SMC) is a popular nonlinear controller for quadrotor UAVs due to its robustness, fast response, and ability to handle complex dynamics. However, it suffers from chattering, sensitivity to modeling errors, and poor performance in the presence of unmatched uncertainties. In this paper, a novel Neuro-fuzzy adaptive sliding mode control is designed and proposed for the position and attitude control of quadrotor UAVs. The proposed method combines SMC with the learning capabilities of Artificial Neural Networks (ANN) and the decision-making abilities of Fuzzy Logic Control (FLC). Firstly, the quadrotor flight dynamics is derived using Newton's quaternion formalism. Secondly, conventional SMC is designed, and the system's stability is validated using Lyapunov stability analysis. Finally, the designed SMC equivalent control part is estimated online by ANN, while its switching control part is estimated by FLC. To verify the controller's performance, extensive software-in-the-loop simulations have been conducted in various scenarios. The results show that the proposed controller effectively tolerates matched and unmatched uncertainties and has better tracking and disturbance rejection capabilities with minimal control effort compared to fuzzy-based SMC and conventional SMC. Therefore, the suggested controller is very suitable for quadrotor UAV applications that require high tracking precision despite varying operating conditions.  ? 2013 IEEE.","Yes"
"2-s2.0-85210615391","10.2514/1.G007671","2024","Article","3","Journal of Guidance, Control, and Dynamics","S1,S2,S4","3","Uncertainty, Unity/VR, Benchmark/Validation","23","Neural-Rendezvous: Provably Robust Guidance and Control to Encounter Interstellar Objects","Interstellar objects (ISOs) are likely representatives of primitive materials invaluable in understanding exoplanetary star systems. Due to their poorly constrained orbits with generally high inclinations and relative velocities, however, exploring ISOs with conventional human-in-the-loop approaches is significantly challenging. This paper presents Neural-Rendezvous?a deep-learning-based guidance and control framework for encountering fast-moving objects, including ISOs, robustly, accurately, and autonomously in real time. It uses pointwise minimum norm tracking control on top of a guidance policy modeled by a spectrally normalized deep neural network, where its hyperparameters are tuned with a loss function directly penalizing the model predictive control state trajectory tracking error. We show that Neural-Rendezvous provides a high probability exponential bound on the expected spacecraft delivery error, the proof of which leverages stochastic incremental stability analysis. In particular, it is used to construct a non-negative function with a supermartingale property, explicitly accounting for the ISO state uncertainty and the local nature of nonlinear state estimation guarantees. In numerical simulations, NeuralRendezvous is demonstrated to satisfy the expected error bound for 100 ISO candidates. This performance is also empirically validated using our spacecraft simulator and in high-conflict and distributed unmanned aerial vehicle swarm reconfiguration with up to 20 unmanned aerial vehicles. ? 2024 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.","Yes"
"2-s2.0-86000758642","","2024","Conference paper","2","Proceedings of Machine Learning Research","S1","1","Maneuver, Unity/VR, Benchmark/Validation, Telemetry/RealFlight","23","Gaussian Splatting to Real World Flight Navigation Transfer with Liquid Networks","Simulators are powerful tools for autonomous robot learning as they offer scalable data generation, flexible design, and optimization of trajectories. However, transferring behavior learned from simulation data into the real world proves to be difficult, usually mitigated with compute-heavy domain randomization methods or further model fine-tuning. We present a method to improve generalization and robustness to distribution shifts in sim-to-real visual quadrotor navigation tasks. To this end, we first build a simulator by integrating Gaussian Splatting with quadrotor flight dynamics, and then, train robust navigation policies using Liquid neural networks. In this way, we obtain a full-stack imitation learning protocol that combines advances in 3D Gaussian splatting radiance field rendering, crafty programming of expert demonstration training data, and the task understanding capabilities of Liquid networks. Through a series of quantitative flight tests, we demonstrate the robust transfer of navigation skills learned in a single simulation scene directly to the real world. We further show the ability to maintain performance beyond the training environment under drastic distribution and physical environment changes. Our learned Liquid policies, trained on single target manoeuvres curated from a photorealistic simulated indoor flight only, generalize to multi-step hikes onboard a real hardware platform outdoors. ? 2024 Proceedings of Machine Learning Research.","Yes"
"2-s2.0-105012771881","10.33012/2024.19790","2024","Conference paper","1","Proceedings of the International Technical Meeting of the Satellite Division of The Institute of Navigation, ION GNSS+","S1,S2,S4","3","Uncertainty, Unity/VR, Benchmark/Validation","23","Position Uncertainty Reduction in Visual-Inertial Navigation Systems Using Multi-ML Error Compensation","In the absence of signals from global navigation satellite systems (GNSS), visual-inertial navigation systems (VINS) are usually utilized in urban air mobility (UAM) applications which require reliable navigation in complex urban areas. This paper focuses on improving vision-based alternatives to GNSS navigation solutions with position uncertainty correction for safe and uninterrupted flights. The novel contribution introduces multiple machine-learning aided hybrid visual-inertial odometry (multi-ML hybrid VIO) that utilizes gated recurrent unit (GRU) based error compensators to enhance positioning within complex environments by reducing the impacts of various sources of uncertainty. Unlike state-of-the-art systems that lack evidence of demonstrating performance enhancement with position uncertainty correction within VIO architectures, the proposed framework simultaneously reduces position uncertainty and improves accuracy. Furthermore, training and testing datasets are generated using MATLAB incorporating unreal engine simulation environment for UAVs to replicate complex scenarios including environmental conditions, illumination variations, weather effects and flight dynamics where traditional VIO systems tend to fail. The proposed hybrid VIO architecture has been validated under combinations of complex scenarios including various sources of uncertainty such as sensor noise, feature tracking error, environmental dynamics, weather effects and lighting conditions for extended flights. The comparison results have demonstrated reduction in horizontal positioning RMSE errors: 1.7m for VIO with VO error compensation 2.18m for VIO with KF error compensation, 1.4m for multi-ML hybrid VIO. Furthermore, it demonstrates generalization ability over seen and unseen fault scenarios that indicates performance improvement of 89% in 3D position compared to VIO with VO error compensation, VIO with KF error compensation, and ESKF-based VIO. Additionally, experimental results demonstrate overall horizontal position uncertainty reduction by 79% for test 1 and 22% for test 2. Finally, this work represents a step forward in improving the safety and effectiveness of UAV navigation by providing vision-based alternative to GNSS solution for uninterrupted flights. ? 2024 The Institute of Navigation. All Rights Reserved.","Yes"
"2-s2.0-105015173643","10.1109/TVT.2025.3606201","2026","Article","0","IEEE Transactions on Vehicular Technology","S1,S2,S4","3","Maneuver, Uncertainty, Benchmark/Validation","23","Uncertainty-Aware Multi-Agent Reinforcement Learning for Anti-Interference Trajectory Planning of Cellular-Connected UAVs","Cellular-connected uncrewed aerial vehicles (C-UAVs) will be an integral component of future wireless networks. Thanks to the mobility and maneuverability of UAVs, we can transform the interference management and route scheduling problems of C-UAVs into an anti-interference trajectory planning problem, aiming to jointly minimize the UAV mission time and transmission outage time. However, none of the existing methods have taken both the spatio-temporal uncertainty of interference sources and multi-UAV trajectory planning into consideration. To address this issue, we propose a novel method, referred to as uncertainty-aware multi-agent reinforcement learning (UA-MARL), for anti-interference trajectory planning of C-UAVs. In UA-MARL, a transmission outage probability (TOP) has been introduced to improve the robustness of the model. A transmission outage probability experience memory (TOPEM) has been designed to increase sample efficiency and reduce inference time. MARL algorithms integrated with an adaptive post-decision state (PDS) have been introduced to accelerate the convergence and stabilize the training. Experimental results show that UA-MARL outperforms baselines in average reward, convergence efficiency, and convergence stability. Furthermore, we find that higher residential density and wider considered area will lead to a decrease in training efficiency and stability. ? 1967-2012 IEEE.","Yes"
"2-s2.0-105031894331","10.1109/ICCUBEA65967.2025.11284229","2025","Conference paper","0","2025 9th International Conference on Computing, Communication, Control and Automation, ICCCBEA 2025","S1,S2,S4","3","Uncertainty, Unity/VR, Benchmark/Validation","23","Defense-Focused Autonomous Unmanned Aerial Vehicle System Using Ensemble Model of ResNetV8 and ResDQN","Navigation of Unmanned Aerial Vehicles (UAVs) is fraught with difficulties due to dynamic obstacles, narrow passages, and the presence or absence of GPS signals. To traverse such environments, one needs adaptable and intelligent control architecture that can make real-time decisions with some uncertainty involved. This paper proposes an all-encompassing AI control system that integrates ideas from Deep Learning and Deep Reinforcement Learning for autonomous navigation of UAVs. Key improvements include external 3D maps and customized drone assets integrated into the AirSim simulator thereby creating a very realistic testing environment. We included an enemy tracking module which allows visual prediction, enabling the drone to detect, track, and evade dynamic threats. Also, a voice command interface allows human operators to take real-time control, thus enhancing interoperability and flexibility in missions. The navigation strategy comprises a dual hybrid ensemble model that integrates ResNet8-based a path planning algorithm and DQN-based an obstacle avoidance algorithm. Furthermore, ResNet8 and CNN are integrated for preliminary object detection tasks, whereby CNN assigns a confidence score to the object detection, and if this confidence is high, then a request is made to ResDQN, without reconfirmation by ResNet8. Such integrated approaches have assured stable flight performance in complex environments while ensuring efficiency as well as high performance. Experimental results have illustrated the robustness and applicability of our system for navigating through tightly cluttered indoor environments containing static and dynamic hazards. This work, therefore, pushes intelligent UAV applications in time-sensitive missions such as search-and-rescue, surveillance, and reconnaissance. ? 2025 IEEE.","Yes"
"2-s2.0-85163496886","10.1109/TRO.2023.3279903","2023","Article","33","IEEE Transactions on Robotics","S4","1","Uncertainty, Unity/VR, Benchmark/Validation","22","DLSC: Distributed Multi-Agent Trajectory Planning in Maze-Like Dynamic Environments Using Linear Safe Corridor","This article presents an online distributed trajectory planning algorithm for a quadrotor swarm in a maze-like dynamic environment. We utilize a dynamic linear safe corridor to construct the feasible collision constraints that can ensure interagent collision avoidance and consider the uncertainty of moving obstacles. We introduce mode-based subgoal planning to resolve deadlock faster in a complex environment using only previously shared information. For dynamic obstacle avoidance, we adopt heuristic methods such as collision alert propagation and escape point planning to deal with the situation where dynamic obstacles approach the agents clustered in a narrow corridor. We prove that the proposed algorithm guarantees the feasibility of the optimization problem for every replanning step. In an obstacle-free space, the proposed method can compute the trajectories for 60 agents on average 7.66 ms per agent with an Intel i7 laptop and shows the perfect success rate. Also, our method shows 64.5% shorter flight time than buffered Voronoi cell and 34.6% shorter than with our previous work. We conduct the simulation in a random forest and maze with four dynamic obstacles, and the proposed algorithm shows the highest success rate and shortest flight time compared to state-of-the-art baseline algorithms. In particular, the proposed algorithm shows over 97% success rate when the velocity of moving obstacles is below the agent's maximum speed. We validate the safety and robustness of the proposed algorithm through a hardware demonstration with ten quadrotors and two pedestrians in a maze-like environment. ? 2004-2012 IEEE.","Yes"
"2-s2.0-85184137328","10.1061/JAEEEZ.ASENG-5286","2024","Article","11","Journal of Aerospace Engineering","S4","1","Uncertainty, Unity/VR, Benchmark/Validation","22","Trajectory Tracking Control for Fixed-Wing UAV Based on DDPG","The study proposes a method for the trajectory tracking control of a fixed-wing unmanned aerial vehicle (UAV) based on the deep deterministic policy gradient (DDPG). First, the problem of controlling the trajectory of a fixed-wing UAV is combined with the reinforcement learning framework and transformed into a Markov decision process, and a DDPG agent is established in the framework of TensorFlow. Second, we conducted simulations to train and optimize the model in a 3D environment of trajectory tracking control and obtained an integrated DDPG-based trajectory tracking controller that can regulate functions ranging from the state of flight of the UAV to rudder control. Third, we constructed a digital simulation system to verify the proposed method while considering the influence of parametric uncertainties, measurement-induced noise, and delays in the response of the control system. The effectiveness and robustness of the proposed DDPG controller were verified by comparing its performance with that of traditional proportional-integral-derivative (PID) control. ? 2024 American Society of Civil Engineers.","Yes"
